# Results for 100
Insert Times (s),Remove Times (s),Find Times (s)
0.0000156000,0.0000050000,0.0000001000
0.0000275000,0.0000018000,0.0000002000
0.0000313000,0.0000030000,0.0000001000
0.0000117000,0.0000006000,0.0000001000
0.0000278000,0.0000006000,0.0000001000
0.0000107000,0.0000005000,0.0000002000
0.0000028000,0.0000005000,0.0000001000
0.0000170000,0.0000005000,0.0000002000
0.0000229999,0.0000006000,0.0000001000
0.0000312000,0.0000005000,0.0000001000
0.0000208000,0.0000025000,0.0000001000
0.0000176000,0.0000070999,0.0000001000
0.0000646999,0.0000018000,0.0000001000
0.0001006001,0.0002591000,0.0000001000
0.0000415001,0.0000015000,0.0000001000
0.0000056000,0.0000011000,0.0000001000
0.0000114001,0.0000008000,0.0000001000
0.0000140000,0.0000008000,0.0000001000
0.0000129000,0.0000063999,0.0000000999
0.0000166000,0.0000055000,0.0000001000
0.0000105000,0.0000014000,0.0000001000
0.0000166000,0.0000013000,0.0000002000
0.0000068001,0.0000016000,0.0000003000
0.0000150000,0.0000011000,0.0000002000
0.0000140000,0.0000010000,0.0000002000
0.0000221001,0.0000010000,0.0000001000
0.0000928000,0.0000026999,0.0000001000
0.0000534001,0.0000049000,0.0000001000
0.0000381999,0.0000059999,0.0000001000
0.0000200000,0.0000016000,0.0000001000
0.0000476000,0.0000006000,0.0000001000
0.0000105000,0.0000007000,0.0000001000
0.0000406001,0.0000006000,0.0000001000
0.0000152000,0.0000005000,0.0000001000
0.0000646000,0.0000005000,0.0000001000
0.0000473000,0.0000005000,0.0000001000
0.0000150000,0.0000006000,0.0000001000
0.0000288000,0.0000005000,0.0000001000
0.0000454001,0.0000239999,0.0000001000
0.0000054000,0.0000029000,0.0000001000
0.0000248000,0.0000036000,0.0000001000
0.0000216000,0.0000039000,0.0000001000
0.0000513000,0.0000010000,0.0000002000
0.0000085999,0.0000015000,0.0000001000
0.0000244000,0.0000010000,0.0000002000
0.0000218999,0.0000023000,0.0000002000
0.0000787999,0.0000031000,0.0000001000
0.0000039000,0.0000027000,0.0000001000
0.0000162000,0.0000014000,0.0000001000
0.0000297001,0.0000009000,0.0000001000
0.0000515000,0.0000017999,0.0000002000
0.0000558000,0.0000013000,0.0000001000
0.0002084000,0.0000005000,0.0000001000
0.0000271000,0.0000006000,0.0000001000
0.0012878000,0.0000005000,0.0000001000
0.0003896999,0.0000063999,0.0000001000
0.0012412000,0.0000048000,0.0000001000
0.0004839001,0.0000018000,0.0000003000
0.0000492000,0.0000010000,0.0000001000
0.0001799000,0.0000006000,0.0000001000
0.0050658999,0.0000012000,0.0000001000
0.0000103000,0.0000009000,0.0000001000
0.0000373001,0.0000008000,0.0000001000
0.0001183000,0.0000006000,0.0000001000
0.0000125000,0.0000006000,0.0000003000
0.0000065000,0.0000097001,0.0000002000
0.0000068001,0.0000032000,0.0000001000
0.0000664000,0.0000020000,0.0000002000
0.0000112001,0.0000012000,0.0000001000
0.0000964999,0.0000028999,0.0000001000
0.0001957001,0.0000010000,0.0000001000
0.0000906000,0.0000006000,0.0000001000
0.0002577000,0.0000004000,0.0000001000
0.0000784000,0.0000006000,0.0000001000
0.0000207999,0.0000008000,0.0000001000
0.0001407999,0.0000007000,0.0000002000
0.0000156000,0.0000022999,0.0000001000
0.0002599000,0.0000031999,0.0000001000
0.0000680001,0.0000014000,0.0000001000
0.0000748000,0.0000011000,0.0000001000
0.0001714000,0.0000019000,0.0000001000
0.0000896000,0.0000009000,0.0000001000
0.0001698000,0.0000005000,0.0000001000
0.0000920000,0.0000014000,0.0000001000
0.0002570000,0.0000013000,0.0000001000
0.0002635000,0.0000005000,0.0000003000
0.0000394001,0.0000022000,0.0000001000
0.0000681001,0.0000024000,0.0000001000
0.0007383999,0.0000029000,0.0000001000
0.0001522000,0.0000016000,0.0000001000
0.0005838999,0.0000005000,0.0000001000
0.0001745000,0.0000005000,0.0000001000
0.0000350000,0.0000005000,0.0000001000
0.0002970999,0.0000005000,0.0000001000
0.0000967000,0.0000011000,0.0000001000
0.0000733000,0.0000007000,0.0000001000
0.0002761000,0.0000006000,0.0000001000
0.0001711000,0.0000005000,0.0000002000
0.0002789000,0.0000023000,0.0000002000
0.0000146000,0.0000058000,0.0000001000
0.0004230000,0.0000015000,0.0000001000
0.0002978001,0.0000007999,0.0000001000
0.0005545000,0.0000005000,0.0000001000
0.0003743001,0.0000006000,0.0000001000
0.0000866000,0.0000005000,0.0000001000
0.0004849001,0.0000008000,0.0000001000
0.0001640000,0.0000009999,0.0000001000
0.0000138000,0.0000011000,0.0000001000
0.0000495000,0.0000005000,0.0000002000
0.0000747000,0.0000010000,0.0000001000
0.0043927999,0.0000022000,0.0000001000
0.0002778000,0.0000019000,0.0000001000
0.0001042000,0.0000018000,0.0000001000
0.0001254999,0.0000005000,0.0000001000
0.0000070999,0.0000005000,0.0000001000
0.0000048000,0.0002204000,0.0000001000
0.0000088000,0.0000030999,0.0000001000
0.0000062999,0.0000024000,0.0000001000
0.0000170000,0.0000011000,0.0000001000
0.0000104000,0.0000010000,0.0000001000
0.0000044000,0.0000010000,0.0000001000
0.0000071001,0.0000007000,0.0000001000
0.0000046000,0.0000005000,0.0000001000
0.0000069001,0.0000006000,0.0000002000
0.0000054000,0.0000013999,0.0000001000
0.0000052999,0.0000026000,0.0000002000
0.0000045000,0.0000021000,0.0000003000
0.0000030000,0.0000006000,0.0000001000
0.0000045999,0.0000005000,0.0000001000
0.0000069999,0.0000014999,0.0000001000
0.0000139000,0.0000015000,0.0000001000
0.0000068999,0.0000018000,0.0000001000
0.0000093000,0.0000013000,0.0000001000
0.0000046000,0.0000008000,0.0000001000
0.0000156000,0.0000051000,0.0000001000
0.0000139000,0.0000017000,0.0000003000
0.0000068999,0.0000020000,0.0000001000
0.0000123000,0.0000014000,0.0000001000
0.0000076999,0.0000022000,0.0000001000
0.0000138000,0.0000012000,0.0000001000
0.0000255001,0.0000009999,0.0000001000
0.0000223001,0.0000013000,0.0000001000
0.0000106000,0.0000020000,0.0000001000
0.0000107001,0.0000031000,0.0000001000
0.0000209000,0.0000039999,0.0000001000
0.0000162000,0.0000024000,0.0000002000
0.0000045000,0.0000017999,0.0000003000
0.0001015000,0.0000007000,0.0000001000
0.0000106000,0.0000008000,0.0000001000
0.0000188000,0.0000009000,0.0000001000
0.0000062000,0.0000005000,0.0000001000
0.0000809000,0.0000006000,0.0000001000
0.0000324000,0.0000005000,0.0000001000
0.0000373999,0.0000005000,0.0000002000
0.0001025001,0.0000005000,0.0000001000
0.0000290000,0.0000036000,0.0000001000
0.0000082999,0.0000059000,0.0000001000
0.0000249000,0.0000016000,0.0000001000
0.0000132000,0.0000013000,0.0000001000
0.0000146000,0.0000012000,0.0000001000
0.0000485000,0.0000011000,0.0000001000
0.0000395001,0.0000006000,0.0000001000
0.0000503000,0.0000005000,0.0000001000
0.0000157000,0.0000006000,0.0000001000
0.0000566001,0.0000005000,0.0000001000
0.0000337000,0.0000006000,0.0000001000
0.0000264000,0.0000009999,0.0000001000
0.0000351000,0.0000017000,0.0000001000
0.0000354999,0.0000016000,0.0000001000
0.0000142000,0.0000020000,0.0000001000
0.0000209000,0.0000023999,0.0000001000
0.0000274000,0.0000011000,0.0000001000
0.0000262000,0.0000005000,0.0000001000
0.0000113000,0.0000007000,0.0000001000
0.0000399000,0.0000005000,0.0000001000
0.0000347999,0.0000005000,0.0000001000
0.0000306000,0.0000005000,0.0000001000
0.0000390001,0.0000043999,0.0000002000
0.0001102000,0.0000014000,0.0000001000
0.0000677000,0.0000016000,0.0000001000
0.0002352999,0.0000124001,0.0000001000
0.0000395001,0.0000016000,0.0000001000
0.0000072001,0.0000007000,0.0000001000
0.0000545001,0.0000006000,0.0000001000
0.0000062999,0.0000005000,0.0000001000
0.0000591000,0.0000005000,0.0000001000
0.0000629000,0.0000007000,0.0000001000
0.0000623999,0.0000006000,0.0000001000
0.0000533999,0.0000005000,0.0000001000
0.0000442000,0.0000030000,0.0000001000
0.0000317000,0.0000020000,0.0000002000
0.0000106000,0.0000022000,0.0000001000
0.0000515000,0.0000021000,0.0000001000
0.0000203999,0.0000011000,0.0000001000
0.0000434000,0.0000006000,0.0000001000
0.0000493000,0.0000006000,0.0000001000
0.0000243000,0.0000005000,0.0000001000
0.0000389999,0.0000005000,0.0000001000
0.0000092000,0.0000007000,0.0000001000
0.0000414001,0.0000008000,0.0000001000
0.0000526001,0.0000005000,0.0000001000
0.0000286000,0.0000048000,0.0000001000
0.0000273000,0.0000018999,0.0000001000
0.0000578000,0.0000022000,0.0000001000
0.0000309000,0.0000019000,0.0000001000
0.0000416000,0.0000006000,0.0000003000
0.0000052999,0.0000006000,0.0000003000
0.0000418000,0.0000005000,0.0000002000
0.0000399000,0.0000005999,0.0000002000
0.0000433000,0.0000006000,0.0000001000
0.0000232999,0.0000005000,0.0000001000
0.0000435000,0.0000030000,0.0000004000
0.0000405000,0.0000005000,0.0000001000
0.0000544001,0.0000108000,0.0000001000
0.0000910001,0.0000023000,0.0000001000
